Date,peak_MW,daily_energy_MU,temp_min,temp_mean,temp_max,solar_radiation,cloud_cover,windspeed
2019-05-14,7599.0,151.4,23.63543000000004,29.191670000000045,35.08108000000004,945948.25,0.37200737,0.822683216931024
2019-05-15,7082.0,153.8,22.80236000000002,27.94240000000002,33.45750000000004,1061745.6,0.7245347,0.4050776933258029
2019-05-16,6925.0,151.1,23.233240000000023,28.32660000000004,34.81494000000004,738462.0,0.5237709,0.8167329575348565
2019-05-17,6285.0,137.9,21.17584000000005,25.268670000000043,29.61276000000004,1098254.9,0.79866964,1.0844564925554785
2019-05-18,6461.0,136.9,22.19580000000002,28.174800000000005,34.16640000000001,1118041.1,0.2245992,2.240623987451355
2019-05-19,6060.0,134.9,23.797600000000045,30.85080000000005,37.31713000000002,1059721.9,0.30624676,1.6052022089776512
2019-05-20,8046.0,146.2,24.29543000000001,31.322320000000047,38.56143000000003,1144369.5,0.41951764,2.0274833101707004
2019-05-21,7314.0,158.9,25.100520000000017,32.54850000000005,39.887350000000026,1036136.25,0.3954092,1.805202163677368
2019-05-22,7919.0,169.5,25.482200000000034,32.922450000000026,39.95342000000005,828307.8,0.5736444,1.4709579080042623
2019-05-23,7073.0,161.7,23.419430000000037,29.814700000000016,35.733180000000004,1028707.25,0.6874139,1.3717935612440275
2019-05-24,6829.0,139.4,22.403740000000028,27.523600000000044,33.34990000000005,1100771.4,0.29444173,1.1210015504826394
2019-05-25,6723.0,142.4,23.031300000000044,29.042140000000018,35.054100000000005,1142347.6,0.05702773,2.632636264144745
2019-05-26,6763.0,150.2,24.123220000000003,31.431700000000035,38.18426,1201402.1,0.1657923,1.8223442414942528
2019-05-27,7132.0,155.9,24.338070000000016,32.25762000000003,40.27210000000002,1205786.5,0.024814403,2.264698601406706
2019-05-28,7521.0,166.3,24.646140000000003,33.71935000000002,41.70556000000005,1149394.5,0.102107465,2.347047492226044
2019-05-29,7858.0,175.9,26.251520000000028,34.97903000000002,42.94494000000003,1182750.9,0.21995062,1.7794001623971876
2019-05-30,8115.0,183.6,26.86886000000004,35.80650000000003,44.15154000000001,1171811.1,0.08967322,1.5616801468377874
2019-05-31,8640.0,188.8,27.86962,36.46105,44.86328000000003,1134013.4,0.042928126,1.0044999268402015
2019-06-01,8866.0,186.4,28.089320000000043,36.33358000000004,44.05572000000001,1143178.1,0.0869208,0.8802050049779132
2019-06-02,8517.0,186.9,29.275500000000022,36.16827000000001,43.59274000000005,1108390.0,0.059676517,1.3321724322590711
2019-06-03,9022.0,181.3,28.32516000000004,34.87330000000003,42.0136,1098657.1,0.05616172,3.360006997446642
2019-06-04,8003.0,162.6,28.548500000000047,34.485600000000034,40.92614000000003,1108355.1,0.16041408,2.346520921076861
2019-06-05,8516.0,186.4,28.803,36.01788000000005,43.31585000000001,1059050.6,0.35255638,0.6764351164802433
2019-06-06,8557.0,198.8,26.014730000000043,34.01120000000003,41.48254000000003,1131200.9,0.14002775,0.9532772946062456
2019-06-07,8715.0,186.0,26.67178000000001,34.47183000000001,41.59050000000002,1023182.3,0.04714219,0.7055372987670212
2019-06-08,8938.0,190.3,27.687700000000007,35.28225000000003,43.101530000000025,1130926.4,0.35242382,0.881070700065158
2019-06-09,8424.0,188.4,28.379400000000032,36.4554,43.96188000000001,1164650.8,0.123755865,1.119218234501136
2019-06-11,9657.0,210.1,30.68765000000002,37.40664000000004,44.35420000000005,979069.0,0.29765475,0.7078827533712005
2019-06-12,9234.0,185.6,27.43270000000001,33.85394000000002,41.10104000000001,1111644.8,0.21314101,2.3400068005225307
2019-06-13,11280.0,228.6,27.012230000000045,34.59185000000002,41.341030000000046,1192596.1,0.033687692,1.1056880308736332
2019-06-14,11041.0,256.0,26.865200000000016,34.98150000000004,42.87832000000003,1086144.1,0.005297043,2.26706167459373
2019-06-15,11550.0,240.2,27.090450000000036,35.07170000000002,42.57742000000002,1037607.0,0.381915,1.9023612656781808
2019-06-16,11325.0,237.6,27.85590000000002,32.362570000000005,37.05630000000002,1027252.75,0.23381226,2.074826347836769
2019-06-17,11824.0,232.0,23.09823,31.170280000000048,39.1275,919794.2,0.38689128,0.5941522293436494
2019-06-18,10814.0,206.1,23.715400000000045,28.849820000000022,33.21630000000005,1062845.0,0.47713077,0.6081582075193604
2019-06-19,11281.0,246.5,26.58090000000004,32.48773,37.94900000000001,994109.06,0.15691681,0.4057548682091497
2019-06-20,11084.0,228.4,24.51060000000001,30.45965000000001,37.2636,1071055.4,0.37715903,0.246634151524149
2019-06-21,11451.0,242.1,25.400540000000035,31.717030000000022,37.80755000000005,1137418.4,0.27157927,1.3830714766247838
2019-06-22,11793.0,263.8,26.84005000000002,34.47314,40.60110000000003,1030912.3,0.06075318,0.7005213391670146
2019-06-23,11561.0,259.3,28.37603000000001,33.218650000000025,39.22665000000001,900147.56,0.15530545,0.8222049674427261
2019-06-24,11561.0,249.8,26.89733000000001,30.496880000000036,35.423640000000034,954823.2,0.47869027,0.8258182549776077
2019-06-25,11355.0,250.6,27.36755000000005,32.02624000000003,36.59927000000005,1100545.9,0.22285755,0.7416835071698641
2019-06-26,12478.0,274.1,28.130300000000037,34.14468000000005,40.04702000000003,1041042.0,0.09548602,1.836541277159065
2019-06-27,12584.0,269.4,28.10064,33.02755000000002,38.31120000000004,1102782.0,0.10473108,1.8981111810578173
2019-06-28,12621.0,282.7,28.145100000000014,34.84720000000004,40.40035,1097791.5,0.06717839,1.715942665880619
2019-06-29,12461.0,281.5,29.457400000000007,35.44335000000001,41.28094000000005,1078492.8,0.086479485,1.4907683862100944
2019-06-30,12876.0,286.0,30.147400000000005,35.096100000000035,40.91192000000001,1045669.7,0.124837674,0.766092456808231
2019-07-01,13027.0,290.1,27.979120000000023,34.404600000000016,40.94808,1085760.9,0.13524665,0.2380354658054196
2019-07-02,13008.0,282.1,28.702500000000043,34.75982000000005,40.18765000000002,1019489.06,0.06927962,0.4362606654951382
2019-07-03,13041.0,300.0,31.121579999999994,35.69497000000001,39.91700000000003,945947.5,0.17656897,1.1718621039385224
2019-07-04,12900.0,289.9,26.98412000000002,32.28800000000001,36.95205000000004,927565.44,0.3286923,2.64247189534112
2019-07-05,12955.0,284.4,27.73678000000001,32.232200000000034,36.61724000000004,927218.06,0.20885055,1.6187804893342643
2019-07-06,12418.0,271.4,28.08447000000001,31.312220000000025,34.62316000000004,918229.06,0.49370375,1.3247662721075453
2019-07-07,12166.0,270.0,28.275450000000035,32.44580000000002,36.29687000000001,927254.3,0.2550079,0.6868046569061413
2019-07-08,12602.0,291.7,29.29803000000004,33.1001,37.27610000000004,828439.8,0.28569078,1.3958106300025694
2019-07-09,12446.0,268.9,27.895140000000023,30.803600000000017,34.49886000000004,779247.2,0.5383773,2.625019986737612
2019-07-10,11929.0,262.6,27.97085000000004,32.08367000000004,35.676450000000045,854316.8,0.46688715,0.8617483694277581
2019-07-11,10953.0,244.6,28.41668000000004,31.57382000000001,34.8818,828793.3,0.47004876,1.4823176062058527
2019-07-12,10632.0,234.5,27.91525000000001,31.446920000000038,35.17217000000005,691718.75,0.55332273,1.3640059750439557
2019-07-13,9820.0,215.0,27.09234000000004,30.56450000000001,34.51287000000002,574266.5,0.80900717,0.9803326239100392
2019-07-14,9341.0,174.4,24.532860000000028,27.77932000000004,31.467550000000017,775180.2,0.8057189,1.8321654728234371
2019-07-15,7593.0,166.0,25.031920000000014,28.524380000000008,32.60020000000003,521160.28,0.6743557,1.7590185962997036
2019-07-16,6250.0,133.7,24.661249999999995,26.825199999999995,29.611050000000034,607708.94,0.83386,2.5135303461021867
2019-07-17,7308.0,147.9,25.143700000000024,28.220600000000047,31.44775000000004,878377.3,0.48856068,1.4146104211633992
2019-07-18,8339.0,177.2,26.17288000000002,29.057500000000005,32.633200000000045,768182.2,0.45985198,1.5560975309976333
2019-07-19,8816.0,192.9,26.66152,28.7038,31.190240000000017,878942.94,0.5989365,1.2455699508461058
2019-07-20,9931.0,206.0,27.29794000000004,29.964140000000043,33.61224000000004,828479.94,0.2985554,1.3793884559660956
